0	0
15	0
23	8.6
32	22.5
40	14.9
49	22.7
55	15.8
63	25
79	26
90	30.7
99	29.8
114	32.2
119	18.7
150	0
154	0
160	0
164	3.3
166	9.9
173	26.4
183	24
187	17.2
193	27.3
199	40.5
220	50
230	54.9
240	56.7
263	53
281	56
295	50
318	30
329	10.8
340	0
350	10.9
360	30.8
380	36.5
392	14.5
400	0
406	12.5
415	30.1
423	18.4
430	0
450	9.9
459	33
484	35.5
500	13.2
505	0
515	8.5
530	25
546	19.8
560	0
571	9.9
580	17.7
590	16.5
600	21.6
611	27
617	9.6
620	0
649	10.2
660	25.6
672	18.5
677	5.8
680	0
698	9.2
709	21.5
715	23.5
724	4.5
728	0.5
735	18
746	28.6
758	14.9
766	0
775	20.7
785	28.9
809	34.3
843	20.9
861	29.1
870	25.1
879	29.2
910	25.6
919	21.7
932	25
951	16.9
959	0
964	15.2
976	28.5
990	21.5
1008	25
1019	10.9
1030	0
1056	10.6
1070	28.3
1087	9.1
1100	0
1106	10
1121	24.5
1138	26.5
1147	16
1160	0
1172	12
1180	20
1190	0
1201	9.8
1222	22
1238	10
1245	0
1264	10.5
1279	24.5
1302	29.1
1309	11.5
1320	0
1340	8.1
1351	22.4
1364	8
1370	0
1393	11.5
1401	22.5
1409	14.9
1418	22.7
1424	15.8
1442	25.7
1459	30.7
1482	32.4
1500	0
1535	9.9
1546	25
1556	17.2
1575	47.5
1598	55
1610	56.7
1639	51.5
1674	45
1690	24.8
1699	8
1705	0
1719	10.9
1729	30.8
1749	36.5
1761	14.5
1770	0
1775	12.5
1784	30.1
1793	15.1
1800	0
1819	9.9
1822	19.8
1836	36.2
1862	32
1867	19.8
1871	7.2
1874	0
