0	0
11	0
15	15
23	15
28	0
49	0
55	15
61	32
85	32
96	0
117	0
123	15
134	35
143	50
155	50
163	35
178	35
188	0
196	0
207	0
211	15
219	15
224	0
245	0
251	15
257	32
281	32
292	0
313	0
319	15
330	35
339	50
351	50
359	35
374	35
384	0
392	0
403	0
407	15
415	15
420	0
441	0
447	15
453	32
477	32
488	0
509	0
515	15
526	35
535	50
547	50
555	35
570	35
580	0
588	0
599	0
603	15
611	15
616	0
637	0
643	15
649	32
673	32
684	0
705	0
711	15
722	35
731	50
743	50
751	35
766	35
776	0
784	0
804	0
810	15
821	35
831	50
845	70
895	70
903	50
972	50
985	70
1035	70
1070	100
1100	100
1120	120
1130	120
1146	80
1154	50
1164	0
1184	0
